,PLZ,Venue_Name,Category,Latitude,Longitude,Address,Distance
465,60385,El Pacifico Cantina Mexicana,Mexican Restaurant,50.11969338471655,8.698189863935346,"Sandweg 79 (Kantstr.), 60316 Frankfurt am Main",439
466,60385,Café Kante,Café,50.12021191668958,8.696861401802307,"Kantstr. 13, 60316 Frankfurt am Main",486
467,60385,shisan,Japanese Restaurant,50.12225312721325,8.696765654528232,"Bornheimer Landstr. 21, 60316 Frankfurt am Main",437
468,60385,Fonda De Santiago,Mexican Restaurant,50.12533,8.697207,"Martin-Luther-Straße 17, 60316 Frankfurt am Main",532
469,60385,Café Faleyda,Café,50.120503739652115,8.695804689857995,"Merianstr. 4, 60316 Frankfurt am Main",541
470,60385,Berger Streetfood,Asian Restaurant,50.12219512118385,8.699535548922244,"Berger Str. 83, 60316 Frankfurt am Main",239
471,60385,Forno d' Oro II,Italian Restaurant,50.1221344,8.6961649,"Luisenstr. 23 (Bornheimer Landstr.), 60316 Frankfurt am Main",480
472,60385,Luisenplatz,Plaza,50.122297125006014,8.69667721428879,"Luisenstr. (Bornheimer Landstr.), 60316 Frankfurt am Main",443
473,60385,Wochenmarkt am Uhrtürmchen,Market,50.125568595301495,8.70696206925249,"Berger Str., 60385 Frankfurt am Main",470
474,60385,Kaiser Biobäckerei,Bakery,50.1213485868715,8.69789067825492,Frankfurt am Main,370
475,60385,UNA Cevapcici,Fast Food Restaurant,50.125027558413294,8.707858493718934,60385 Frankfurt am Main,471
476,60385,Caffè Leidenschaft,Café,50.121871342147,8.698800802230835,"Berger Str. 79 (Bornheimer Landstr.), 60316 Frankfurt am Main",294
477,60385,TRARES Restaurant & Bar,Modern European Restaurant,50.12111004085111,8.69589505325092,"Luisenstraße 7, 60316 Frankfurt am Main",515
478,60385,No. 16,Italian Restaurant,50.127555577426506,8.703413763225003,"Löwengasse 27a, 60385 Frankfurt am Main",592
479,60385,Traumkuh,Burger Joint,50.124258,8.704341,"Berger Straße 154 (Eichwaldstraße), 60385 Frankfurt am Main",247
480,60386,Klassikstadt,Science Museum,50.13198868428167,8.75548931295904,"Orber Str. 4a (Cassellastr.), 60386 Frankfurt am Main",323
481,60386,Fattoria La Vialla,Gourmet Shop,50.13042586009261,8.755731362616556,"Cassellastr. 30-32, 60386 Frankfurt am Main",310
482,60386,Die Werkskantine,German Restaurant,50.13220649038015,8.755471317667366,"Orber Str. 4a, 60386 Frankfurt am Main",331
483,60386,Kaufland,Big Box Store,50.13170974495611,8.74943607718924,"Wächtersbacher Str. 75, 60386 Frankfurt am Main",747
484,60386,Harley-Davidson Factory,Sporting Goods Shop,50.13075721927132,8.749750601793306,"Wächtersbacher Str. 83, 60386 Frankfurt am Main",725
485,60386,T Hall,Climbing Gym,50.133517352319544,8.765915339206854,"Vilbeler Landstr. 7, Frankfurt am Main",497
486,60386,Mainstation,Hotel,50.13388682301979,8.766385890259132,"An der Mainkur 7, 60386 Frankfurt am Main",547
487,60386,360 BBQ,BBQ Joint,50.13028855397275,8.749855793498995,Deutschland,724
488,60386,Lidl,Supermarket,50.1311326,8.7607196,"Hanauer Landstraße 519, 60386 Fechenheim",61
489,60386,Bier-Hannes,Brewery,50.13330426717107,8.768069904711455,"Hanauer Landstr., Frankfurt am Main",626
490,60386,Heinrich-Kraft-Park,Park,50.13657722083216,8.766583457191045,"Kilanstädter Str., 60386 Frankfurt am Main",759
491,60386,McFIT,Gym / Fitness Center,50.13138529411288,8.762095311494704,"Hanauer Landstraße 523, 60386 Frankfurt am Main",158
